"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"ALAS2",1285.05316526483,1.96773354914557,0.0938241101104429,20.9725788694324,1.16760414084462e-97,1.26381472205022e-93,"UP"
"FADS1",4460.27337760128,-1.15549802196181,0.0567985976679268,-20.3437773009368,5.27101471080289e-92,2.85267316148652e-88,"DOWN"
"DLK1",995.630118077333,-2.14389601024439,0.108775233477599,-19.7094130869956,1.79031267583957e-86,6.45944813442917e-83,"DOWN"
"RELN",2928.53428133562,1.05633380317251,0.0654277520594596,16.1450419725949,1.23064771094963e-58,3.33013270582971e-55,"UP"
"SLC7A8",844.209498468482,1.8111219256437,0.122277807279124,14.8115342100422,1.23391458503875e-49,2.67117829369189e-46,"UP"
"DIRAS3",983.560023322123,-1.45102762714155,0.102519631216725,-14.1536563282607,1.77294156057824e-45,3.19838657528315e-42,"DOWN"
"VIM",1210.33111953636,-1.30318243822903,0.0926714621664092,-14.0623921082514,6.46629591930405e-45,9.99874100436385e-42,"DOWN"
"CCND1",372.670543146617,-2.36399055188704,0.172922346824114,-13.6708215872848,1.51672957216176e-42,2.05213511113486e-39,"DOWN"
"MYEOV",718.762135121766,-1.70890576958272,0.127104312751934,-13.4449078287213,3.29816494251235e-41,3.96659303752819e-38,"DOWN"
"FAXDC2",836.262904168276,1.4449830642894,0.10973251479519,13.1682306469179,1.33694193025364e-39,1.37723161197478e-36,"UP"
"COL18A1",2354.5150619302,1.03092133575505,0.0783091013896659,13.1647703454697,1.39962562192559e-39,1.37723161197478e-36,"UP"
"KEL",1733.590563085,1.02405904208886,0.0815588873689809,12.5560693031026,3.68173558064287e-36,3.32092549373987e-33,"UP"
"MED16",667.592970734433,-1.54996475329622,0.123650157461308,-12.5350811120578,4.79870235314708e-36,3.99547340542031e-33,"DOWN"
"FASN",12101.8430708279,-0.602194292254293,0.0492074237323336,-12.2378748281959,1.95073625583146e-34,1.5081978023657e-31,"DOWN"
"HBE1",46205.1621960306,0.53416136864647,0.0471831646941394,11.3210161316886,1.03267921860514e-29,7.45181324145471e-27,"UP"
"CAVIN1",2377.50431085757,-0.784394753815413,0.0703177137851659,-11.1550093367923,6.76857145560892e-29,4.57893858971944e-26,"DOWN"
"SLC39A8",961.431694204476,1.13337306381913,0.102610294233326,11.0454128631767,2.30704681781551e-28,1.46891027976677e-25,"UP"
"ARHGAP22",443.34595513063,-1.64544520474202,0.150137854466904,-10.9595625339427,5.97876736033258e-28,3.59523210601332e-25,"DOWN"
"STAT5A",5064.02323583551,-0.788307423431505,0.0723387318310555,-10.8974459943889,1.18537915224485e-27,6.41527197194914e-25,"DOWN"
"GATA2",2334.75884194782,-0.811792667693926,0.0744928103682523,-10.8975975490905,1.1834068387126e-27,6.41527197194914e-25,"DOWN"
"RHCE",483.902295054087,1.497953083617,0.142095519235405,10.5418741680051,5.53840100336556e-26,2.85465011716328e-23,"UP"
"SLC2A3",1344.54020795162,-0.908405767903467,0.086596990172371,-10.4900385809632,9.5989189088308e-26,4.72266810314475e-23,"DOWN"
"RHD",466.725293892663,1.53658236607741,0.150057961173676,10.2399256531214,1.31337255950152e-24,6.18084547132365e-22,"UP"
"CAVIN2",620.642218430926,-1.31372899491991,0.128589308629206,-10.2164714074956,1.67321044094559e-24,7.5461790886646e-22,"DOWN"
"HBG2",16542.5798096202,0.481360850615609,0.0472772780335503,10.1816532304168,2.39458067797501e-24,1.03675765033606e-21,"UP"
"PLEC",6069.06636759366,-0.564549245805549,0.0558360347530171,-10.1108405763904,4.94580918954624e-24,1.99307763657147e-21,"DOWN"
"ACTG1",12172.2103845222,-0.459663430812411,0.0454647300897749,-10.1103301373341,4.97164598923038e-24,1.99307763657147e-21,"DOWN"
"BLVRB",4078.76307561153,0.609274693341356,0.0613285160310763,9.93460681541072,2.94334823441065e-23,1.13781433175932e-20,"UP"
"FECH",2318.76550521598,0.694309532053671,0.0702722923552612,9.880274412333,5.06938961480386e-23,1.89210597209093e-20,"UP"
"TLNRD1",514.450861517779,-1.29424299134688,0.133850996787594,-9.66928168193394,4.07226253002641e-22,1.46927232083353e-19,"DOWN"
"SLC25A37",2492.28565421145,0.659235936852974,0.0682448794687151,9.65985934747209,4.46476536031287e-22,1.5589232341944e-19,"UP"
"RHAG",4267.47216086282,0.553532525573349,0.0574888008043599,9.62852795376747,6.05912288211294e-22,2.0494983148747e-19,"UP"
"PLXNA1",2179.82355285131,-0.701808203829538,0.073336433747564,-9.56970727872146,1.07208779353315e-21,3.51644796278874e-19,"DOWN"
"IGFBP4",216.670351167226,-2.00919244848718,0.21237257348495,-9.4606964332405,3.05898948279665e-21,9.73838298876204e-19,"DOWN"
"TMSB4X",3203.23724167828,-0.688539609339431,0.0742145911532531,-9.27768513765166,1.73200467462118e-20,5.35634817088562e-18,"DOWN"
"ESPN",288.347868959017,1.74862964336972,0.188596327768014,9.27181172647565,1.83010484047079e-20,5.50251522034885e-18,"UP"
"CBFA2T3",1976.14156937114,-0.722272977384298,0.0783046653769364,-9.22388179436668,2.86534878656051e-20,8.38230682857594e-18,"DOWN"
"OAT",2540.97773601782,0.628270290393818,0.0682367624539321,9.20721130077024,3.34707375252523e-20,9.53387534140343e-18,"UP"
"ERMAP",1547.66375221671,0.79086310489435,0.086591824397409,9.13323065310095,6.64850159252366e-20,1.84521490352503e-17,"UP"
"MYC",3098.38088569136,-0.580716138872983,0.0637135354894292,-9.11448618275674,7.90441301633845e-20,2.13893416222118e-17,"DOWN"
"ABHD2",2182.88442259486,-0.689901114034193,0.0757999356796283,-9.10160553367868,8.90061839177759e-20,2.34976325542928e-17,"DOWN"
"SERPINF1",546.929362045202,1.17113608136573,0.131238861366757,8.923698888951,4.50968828199399e-19,1.16221109438817e-16,"UP"
"SSX2B",145.181820606898,2.60699230477413,0.293215705446588,8.89103910993957,6.05400632463606e-19,1.52392010367118e-16,"UP"
"PKLR",2874.77603019764,0.601870810742811,0.0684239525241317,8.7962005780146,1.41526520526186e-18,3.48155240494418e-16,"UP"
"COTL1",1588.87510284807,-0.709981631348189,0.0810029470416172,-8.76488643040875,1.86965039619544e-18,4.49713241964878e-16,"DOWN"
"ABCB10",1499.30141447979,0.725040504038732,0.0831768760675888,8.71685182609612,2.86044101239072e-18,6.73074206915591e-16,"UP"
"DIAPH1",6615.97151655495,-0.445848521161667,0.0513422485280668,-8.68385265436786,3.82584332449507e-18,8.81083577539034e-16,"DOWN"
"FAM46C",469.204153835154,1.21153855429369,0.140386905441361,8.62999686818901,6.1353653498973e-18,1.38352488640184e-15,"UP"
"MSN",10368.029524518,-0.441789869376107,0.0515258837073114,-8.57413473751675,9.9834496841535e-18,2.2053236608424e-15,"DOWN"
"KIFC3",1413.80295360689,-0.728271678594496,0.0853577043101719,-8.5319970174937,1.43842765764552e-17,3.11109496862394e-15,"DOWN"
"FAM83A",3173.83800275295,0.535647796571981,0.062797147521287,8.52981095025705,1.46587068920751e-17,3.11109496862394e-15,"UP"
"BTG2",607.714474650764,1.05269765075479,0.123652538382462,8.51335253222826,1.68975351159666e-17,3.51728692490813e-15,"UP"
"PTPN7",367.811035261058,-1.38621892994973,0.163551131136011,-8.47575263051493,2.33564576825847e-17,4.77000562181692e-15,"DOWN"
"STXBP5",1143.40511863154,-0.831051328198233,0.0983037327987207,-8.45391425674376,2.816962172227e-17,5.64644417633056e-15,"DOWN"
"RNF144A",364.412736336876,1.33003849372535,0.158171244601427,8.40885141339624,4.14045235877832e-17,8.14841024207573e-15,"UP"
"IFITM1",944.86315370328,-0.898569748940663,0.107024841006783,-8.39589893792708,4.62343191634759e-17,8.93643340402612e-15,"DOWN"
"SPN",3758.65741654066,-0.522645765934022,0.0624911701573188,-8.36351383112661,6.08773869839734e-17,1.15602953809566e-14,"DOWN"
"STOM",1135.66767204445,-0.767892055619914,0.0933636782929106,-8.22474081634616,1.95613393460122e-16,3.65055063933165e-14,"DOWN"
"MYB",970.724914392963,-0.836017388502724,0.101953690621699,-8.19997180489309,2.40443418444403e-16,4.41111790041053e-14,"DOWN"
"HBG1",5876.54349098869,0.45165932730598,0.0561080575790932,8.04981221581756,8.29211649299186e-16,1.4904281950494e-13,"UP"
"FERMT3",2937.23098605405,-0.57264544003957,0.0711516590861851,-8.04823734814015,8.39949370824216e-16,1.4904281950494e-13,"DOWN"
"SLC2A1",3893.84069933844,0.51224528054401,0.0637440715416217,8.03596739517242,9.28434330465231e-16,1.62086664402511e-13,"UP"
"GUK1",2668.35276855078,0.53458760901625,0.0665786883643628,8.02941034360172,9.79422551708717e-16,1.68274122217383e-13,"UP"
"ANKRD52",1038.87371295105,-0.799863354383959,0.0997083862231063,-8.02202687940606,1.04014372120606e-15,1.75914306848975e-13,"DOWN"
"SH3BGRL2",587.486069336074,0.988064994958213,0.125784343450066,7.85523037173907,3.99038027291767e-15,6.64490401139398e-13,"UP"
"HDAC7",1115.47250263541,-0.785675749108594,0.100348114562686,-7.8295018549431,4.8980676661518e-15,8.03283097248895e-13,"DOWN"
"EPB41",4623.22092216468,0.476234555156073,0.0610461637322228,7.80122002825702,6.13115038020585e-15,9.9050107037833e-13,"UP"
"DHFR",2131.80075198181,0.565555059828942,0.0728087593892029,7.76767884212584,7.99374287087018e-15,1.27241577697498e-12,"UP"
"TOP2A",4363.78354685318,0.491038136781218,0.0632645875420329,7.76165870764545,8.38257339562414e-15,1.31497064397443e-12,"UP"
"STARD8",1020.45216906783,-0.753751571379227,0.0976376091890848,-7.71988967816196,1.16430435535582e-14,1.80034719176734e-12,"DOWN"
"TUBB1",926.364273899327,0.781523490345622,0.101971877201522,7.66410810307176,1.80078173289878e-14,2.74530443336569e-12,"UP"
"TMOD1",1467.9613236281,0.654488981782701,0.0854895547126956,7.65577717631399,1.92146636698708e-14,2.88860443837058e-12,"UP"
"SLC29A1",2247.89125488896,0.581971298930343,0.0765658761692417,7.60092260479002,2.94026925994882e-14,4.35965403694329e-12,"UP"
"PPOX",823.998330685948,0.813355037072835,0.10773242305066,7.54977019954673,4.36026898151001e-14,6.35325134889511e-12,"UP"
"KCNH2",5577.24251184291,-0.464553038935058,0.06154223790372,-7.54852366047899,4.40219744241624e-14,6.35325134889511e-12,"DOWN"
"INSIG1",1758.45619959253,-0.62954374101569,0.0836491686488637,-7.52600116874255,5.2317872194499e-14,7.45116642938497e-12,"DOWN"
"NUSAP1",1515.65323661042,0.617460495110431,0.0820815499047878,7.52252480401098,5.37284200147733e-14,7.55268075636242e-12,"UP"
"FAM210B",1187.65886338424,0.6805122077486,0.0913462653511008,7.44980875937255,9.34756305987548e-14,1.2971541353858e-11,"UP"
"SORD",1141.01876332673,0.701492470132589,0.0951716691188662,7.37081188789964,1.69592006536947e-13,2.32362516298217e-11,"UP"
"DMXL2",897.126406967044,0.814389814140108,0.110584125493727,7.3644368981903,1.77896177090136e-13,2.40693527602955e-11,"UP"
"SREBF1",2431.33602730591,-0.514216485470495,0.0700312678769887,-7.34266993957223,2.09374417356941e-13,2.79786258453276e-11,"DOWN"
"BEST1",13752.747189818,0.336920561344452,0.0460756301449437,7.31233756943909,2.62534546814072e-13,3.46545601794575e-11,"UP"
"GYPA",1084.27559289021,0.812961903699851,0.111221219814849,7.30941366272725,2.68310584618227e-13,3.49902863603336e-11,"UP"
"LDHA",6785.23160110598,-0.38374836979763,0.0528715130477477,-7.25813103648218,3.92475258368154e-13,5.05732404354392e-11,"DOWN"
