"","x"
"1","FADS1"
"2","DLK1"
"3","DIRAS3"
"4","VIM"
"5","CCND1"
"6","MYEOV"
"7","MED16"
"8","ARHGAP22"
"9","SLC2A3"
"10","CAVIN2"
"11","TLNRD1"
"12","IGFBP4"
"13","PTPN7"
"14","STXBP5"
"15","IFITM1"
"16","MYB"
"17","ANKRD52"
"18","NRROS"
"19","NOTCH1"
"20","FAM129B"
"21","KISS1R"
"22","SNCG"
"23","MYO3B"
"24","SH2D1B"
"25","ETV4"
"26","NAV1"
"27","LCP2"
"28","RAB27B"
"29","FMNL1"
"30","MATK"
"31","IFITM2"
"32","FCGR2A"
"33","TMEM173"
"34","AMER1"
"35","PCSK9"
"36","SPRY4"
"37","RNASET2"
"38","DHRS3"
"39","SLC6A19"
"40","F2RL3"
"41","CD53"
"42","MLC1"
"43","AL161784.1"
"44","NAT8L"
"45","LAPTM5"
"46","SOCS3"
"47","P2RX1"
"48","PPP1R16B"
"49","FBXO41"
"50","DES"
"51","HES1"
"52","NAB2"
"53","SMAGP"
"54","PIR"
"55","TBXA2R"
"56","LIMK1"
"57","PRF1"
"58","PLPPR3"
"59","SELPLG"
"60","ITGA2B"
"61","KREMEN2"
"62","SALL2"
"63","FYB1"
"64","NR1D1"
"65","SOX18"
"66","DNM1"
"67","FAM43A"
"68","KCNC3"
"69","RFX2"
"70","ADGRE2"
"71","NNMT"
"72","C4orf32"
"73","RBPMS2"
"74","PLCH1"
"75","FABP5"
"76","ETV6"
"77","CNKSR3"
"78","CHCHD6"
"79","CARD10"
"80","CDK5R1"
"81","ST3GAL1"
"82","ZIC2"
"83","GIPC3"
"84","CABLES1"
"85","MYO16"
"86","LPL"
"87","PEX12"
"88","MDC1"
"89","FAM212A"
"90","FJX1"
"91","GJD3"
"92","RALGAPA2"
"93","EREG"
"94","APOBR"
"95","RASGRP2"
"96","STC2"
"97","SLC17A7"
"98","MYOM1"
"99","MMP17"
"100","ANKLE1"
"101","SLC2A14"
"102","IGSF8"
"103","RGS16"
"104","BCL2"
"105","MAFF"
"106","C1orf226"
"107","HSPA6"
"108","HSD11B2"
"109","FOSL2"
"110","PLCD3"
"111","CHRNB1"
"112","SUSD3"
"113","NES"
"114","SOSTDC1"
"115","CD3G"
"116","SEMA6C"
"117","CCDC116"
"118","S100P"
"119","KLHL6"
"120","PTPRR"
