"","x"
"1","FADS1"
"2","DLK1"
"3","DIRAS3"
"4","VIM"
"5","CCND1"
"6","MYEOV"
"7","MED16"
"8","FASN"
"9","CAVIN1"
"10","ARHGAP22"
"11","STAT5A"
"12","GATA2"
"13","SLC2A3"
"14","CAVIN2"
"15","PLEC"
"16","ACTG1"
"17","TLNRD1"
"18","PLXNA1"
"19","IGFBP4"
"20","TMSB4X"
"21","CBFA2T3"
"22","MYC"
"23","ABHD2"
"24","COTL1"
"25","DIAPH1"
"26","MSN"
"27","KIFC3"
"28","PTPN7"
"29","STXBP5"
"30","IFITM1"
"31","SPN"
"32","STOM"
"33","MYB"
"34","FERMT3"
"35","ANKRD52"
"36","HDAC7"
"37","STARD8"
"38","KCNH2"
"39","INSIG1"
"40","SREBF1"
"41","LDHA"
"42","NRROS"
"43","PRKCB"
"44","NOTCH1"
"45","TUFM"
"46","FAM129B"
"47","SLC7A5"
"48","JUND"
"49","VASP"
"50","ESYT1"
"51","GPI"
"52","KISS1R"
"53","SNCG"
"54","GSE1"
"55","EIF4G1"
"56","MYO3B"
"57","SH2D1B"
"58","CAPN15"
"59","CMBL"
"60","SCD"
"61","EGFL7"
"62","ETV4"
"63","NACC1"
"64","JAG2"
"65","HSPG2"
"66","UAP1"
"67","KRT10"
"68","FKBP4"
"69","ARHGAP6"
"70","NAV1"
"71","NOC2L"
"72","FADS2"
"73","LCP2"
"74","RAB27B"
"75","FMNL1"
"76","KIF21B"
"77","MKNK2"
"78","ALDOA"
"79","CCDC85B"
"80","MATK"
"81","IFITM2"
"82","TCOF1"
"83","SLC6A6"
"84","FAM173A"
"85","GLUL"
"86","FCGR2A"
"87","HMGA1"
"88","LETM1"
"89","EEF2"
"90","ARHGEF2"
"91","PTBP1"
"92","ATAD3B"
"93","TMEM173"
"94","AMER1"
"95","UNC13D"
"96","PCSK9"
"97","ODC1"
"98","LMO2"
"99","FAM78A"
"100","SPRY4"
"101","ADGRV1"
"102","USP20"
"103","RPA2"
"104","POLRMT"
"105","ATAD3A"
"106","RNASET2"
"107","KHSRP"
"108","FLNA"
"109","CELF2"
"110","MRPL41"
"111","DHRS3"
"112","FADS3"
"113","URB1"
"114","RREB1"
"115","MYBBP1A"
"116","ACSM3"
"117","ATP2A3"
"118","SLC6A19"
"119","CHD4"
"120","F2RL3"
"121","SCARB1"
"122","STAR"
"123","ZNF385A"
"124","DOCK11"
"125","RCC2"
"126","IER2"
"127","TKT"
"128","SETD1A"
"129","CD53"
"130","MLC1"
"131","FHOD1"
"132","MAN1A1"
"133","AL161784.1"
"134","NAT8L"
"135","LAPTM5"
"136","BRI3BP"
"137","FBXL19"
"138","HNRNPD"
"139","MACF1"
"140","IMP4"
"141","SOCS3"
"142","TRMT1"
"143","CYBA"
"144","HCFC1"
"145","UBR4"
"146","PABPC4"
"147","PNKD"
"148","IGF2BP1"
"149","MYADM"
"150","HES6"
"151","SPTBN1"
"152","YBX3"
"153","NOLC1"
"154","P2RX1"
"155","CLUH"
"156","BHLHE40"
"157","HNRNPF"
"158","SEPT9"
"159","RCC1"
"160","CTSH"
"161","ERF"
"162","KLHL17"
"163","PPP1R16B"
"164","MDN1"
"165","FBXO41"
"166","DES"
"167","CFLAR"
"168","PPARGC1B"
"169","KIF1C"
"170","ZNF595"
"171","HES1"
"172","MRPL4"
"173","CARM1"
"174","H1FX"
"175","ARID1A"
"176","CNN2"
"177","MICALL2"
"178","SAMD4B"
"179","ITGB5"
"180","DHX37"
"181","TRMT2A"
"182","MCAM"
"183","OPLAH"
"184","ZYX"
"185","SLC25A22"
"186","KMT2D"
"187","SH2B3"
"188","NAB2"
"189","SLC25A1"
"190","GAL"
"191","ITGA5"
"192","SAPCD2"
"193","TPST2"
"194","LYPLA2"
"195","ARHGDIA"
"196","PLP2"
"197","ADCY7"
"198","CMIP"
"199","ST6GAL1"
"200","TBRG4"
"201","COASY"
