"","x"
"1","FADS1"
"2","PLEC"
"3","DLK1"
"4","DIAPH1"
"5","LDHA"
"6","CCND1"
"7","DIRAS3"
"8","MED16"
"9","VIM"
"10","MYEOV"
"11","ARHGAP22"
"12","CHD4"
"13","TLNRD1"
"14","ODC1"
"15","IGFBP4"
"16","STAT5A"
"17","CAVIN2"
"18","EIF4G1"
"19","KCNH2"
"20","SLC2A3"
"21","PTPN7"
"22","FASN"
"23","CAVIN1"
"24","GLUL"
"25","GATA2"
"26","GSE1"
"27","KHSRP"
"28","NRROS"
"29","NOTCH1"
"30","MYB"
"31","MYC"
"32","IFITM1"
"33","SPN"
"34","ACTG1"
"35","MSN"
"36","STOM"
"37","ANKRD52"
"38","PLXNA1"
"39","STARD8"
"40","PTBP1"
"41","TMSB4X"
"42","TUFM"
"43","STXBP5"
"44","NOC2L"
"45","KIFC3"
"46","SNCG"
"47","CBFA2T3"
"48","KISS1R"
"49","RCC2"
"50","COTL1"
"51","HDAC7"
"52","LCP2"
"53","ABHD2"
"54","ETV4"
"55","KIF21B"
"56","SCD"
"57","FAM129B"
"58","FLNA"
"59","AMER1"
"60","SH2D1B"
"61","IFITM2"
"62","NAV1"
"63","MATK"
"64","MYO3B"
"65","PABPC4"
"66","ARHGAP6"
"67","RAB27B"
"68","FERMT3"
"69","JAG2"
"70","FCGR2A"
"71","TMEM173"
"72","FMNL1"
"73","USP20"
"74","ESYT1"
"75","SPRY4"
"76","HSPG2"
"77","F2RL3"
"78","CD53"
"79","PRKCB"
"80","CCDC85B"
"81","KRT10"
"82","FAM173A"
"83","PCSK9"
"84","DHRS3"
"85","SREBF1"
"86","EGFL7"
"87","GPI"
"88","AL161784.1"
"89","INSIG1"
"90","SOCS3"
"91","ADGRV1"
"92","MYADM"
"93","LAPTM5"
"94","SLC7A5"
"95","FADS2"
"96","PNKD"
"97","PDGFB"
"98","NAT8L"
"99","RNASET2"
"100","ACSM3"
"101","FADS3"
"102","KLHL17"
"103","JUND"
"104","FBXL19"
"105","BRI3BP"
"106","DES"
"107","FBXO41"
"108","HNRNPD"
"109","VASP"
"110","SLC6A19"
"111","FKBP4"
"112","SLC25A22"
"113","PPP1R16B"
"114","NAB2"
"115","PPARGC1B"
"116","SLC6A6"
"117","CMBL"
"118","UAP1"
"119","TBXA2R"
"120","CAPN15"
"121","TNFRSF8"
"122","MKNK2"
"123","EPHB6"
"124","SMAGP"
"125","PLP2"
"126","DOCK11"
"127","PIR"
"128","ERF"
"129","NQO1"
"130","P2RX1"
"131","CFLAR"
"132","HES1"
"133","LIMK1"
"134","TCOF1"
"135","BHLHE40"
"136","MAP7"
"137","B4GALT1"
"138","MRPL41"
"139","TKT"
"140","NACC1"
"141","ITGB5"
"142","CTSH"
"143","MLC1"
"144","RPA2"
"145","ARHGAP4"
"146","CMTM4"
"147","STAR"
"148","OPLAH"
"149","RDH10"
"150","ITGA5"
"151","ST6GAL1"
"152","MEF2C"
"153","SAMD4B"
"154","SETD1A"
"155","SLC39A14"
"156","LETM1"
"157","SCARB1"
"158","RAC3"
"159","ATP2A3"
"160","LMO2"
"161","IER2"
"162","METRN"
"163","ARHGEF2"
"164","GAL"
"165","PLPPR3"
"166","HES6"
"167","CARM1"
"168","MICALL2"
"169","RREB1"
"170","FAM43A"
"171","UNC13D"
"172","GRPEL1"
"173","ATAD3B"
"174","FAM78A"
"175","TRPV2"
"176","CELF2"
"177","NOLC1"
"178","TTC7B"
"179","PDE4A"
"180","HCFC1"
"181","AHDC1"
"182","PRF1"
"183","URB1"
"184","ATAD3A"
"185","ATP13A2"
"186","KIF1C"
"187","IMP4"
"188","MAP3K5"
"189","IGF2BP1"
"190","POLRMT"
"191","THAP4"
"192","H1FX"
"193","NR2F6"
"194","MACF1"
"195","ERCC2"
"196","MCAM"
"197","SELPLG"
"198","ZMYND19"
