"","x"
"1","ADGRE2"
"2","TBXA2R"
"3","TLNRD1"
"4","DNM1"
"5","RGS16"
"6","PLCH1"
"7","LCP2"
"8","AMER1"
"9","SLC2A3"
"10","PIR"
"11","FADS1"
"12","DIRAS3"
"13","NOTCH1"
"14","VIM"
"15","SH2D1B"
"16","DLK1"
"17","IGFBP4"
"18","RAB27B"
"19","SELPLG"
"20","FAM212A"
"21","IFITM2"
"22","ANKLE1"
"23","LAPTM5"
"24","APOBR"
"25","MED16"
"26","CCND1"
"27","NRROS"
"28","ARHGAP22"
"29","SOCS3"
"30","NR1D1"
"31","C1orf226"
"32","RBPMS2"
"33","PPP1R16B"
"34","RASGRP2"
"35","CD53"
"36","SOX18"
"37","HES1"
"38","MYEOV"
"39","CNKSR3"
"40","LIMK1"
"41","CCDC116"
"42","DES"
"43","ETV4"
"44","FABP5"
"45","CAVIN2"
"46","MYB"
"47","NAV1"
"48","SPRY4"
"49","GJD3"
"50","FAM43A"
"51","NNMT"
"52","CHRNB1"
"53","FBXO41"
"54","PTPN7"
"55","KISS1R"
"56","ANKRD52"
"57","FCGR2A"
"58","SLC17A7"
"59","NAB2"
"60","P2RX1"
"61","MATK"
"62","SLC6A19"
"63","PLPPR3"
"64","SOSTDC1"
"65","MYO3B"
"66","AL161784.1"
"67","RALGAPA2"
"68","IFITM1"
"69","HSPA6"
"70","FOSL2"
"71","PCSK9"
"72","F2RL3"
"73","SMAGP"
"74","KREMEN2"
"75","SNCG"
"76","PRF1"
"77","MYOM1"
"78","GIPC3"
"79","CD3G"
"80","FAM129B"
"81","NAT8L"
"82","STC2"
"83","MYO16"
"84","STXBP5"
"85","HSD11B2"
"86","PTPRR"
"87","RNASET2"
"88","DHRS3"
"89","NES"
"90","MLC1"
"91","ZIC2"
"92","FYB1"
"93","TMEM173"
"94","MMP17"
"95","FMNL1"
"96","SLC2A14"
"97","S100P"
"98","CARD10"
"99","KLHL6"
"100","FJX1"
"101","CDK5R1"
"102","ITGA2B"
"103","SEMA6C"
"104","MDC1"
"105","LPL"
"106","C4orf32"
"107","PEX12"
"108","KCNC3"
"109","CABLES1"
"110","ETV6"
"111","CHCHD6"
"112","RFX2"
"113","IGSF8"
"114","EREG"
"115","SUSD3"
"116","PLCD3"
"117","MAFF"
"118","BCL2"
"119","ST3GAL1"
"120","SALL2"
