"","logFC","logCPM","LR","PValue","FDR","change"
"FADS1",-1.14683911083805,8.98569008921527,1039.14512559552,5.56785676085397e-228,1.12364917290794e-223,"DOWN"
"PLEC",-0.557697602170806,9.43162333899435,725.740763652721,7.5569832839938e-160,7.62537398271394e-156,"DOWN"
"ALAS2",1.97596664115195,7.2040896057241,657.188440932029,6.10632658323097e-145,4.10772589253947e-141,"UP"
"DLK1",-2.13525656708246,6.81714209855402,636.093557906337,2.36340628806531e-140,1.19239755748615e-136,"DOWN"
"DIAPH1",-0.436958552861962,9.55632273874305,601.375787159559,8.40533341053912e-133,3.3925606711618e-129,"DOWN"
"LDHA",-0.3747919475281,9.59285033007988,454.526214800492,7.46615187834187e-101,2.51124018428029e-97,"DOWN"
"HBG1",0.460314837324963,9.3874950327706,448.394956520558,1.61219965939882e-99,4.6479716180468e-96,"UP"
"CCND1",-2.35465261649462,5.39783322919635,423.455983903983,4.31735484874924e-94,1.08910672753261e-90,"DOWN"
"SLC7A8",1.81742109063231,6.60139187805856,356.258613538958,1.83768798181531e-79,4.12070901789052e-76,"UP"
"DIRAS3",-1.44240034157814,6.80212373351618,352.093176378827,1.48362663639965e-78,2.95895000568902e-75,"DOWN"
"RELN",1.0651409183149,8.38549411593392,351.926649478216,1.61282642399183e-78,2.95895000568902e-75,"UP"
"FAXDC2",1.45454035983715,6.58486902719206,335.329967810666,6.63652829128405e-75,1.1160981453867e-71,"UP"
"MED16",-1.54185076138408,6.24289988553649,318.941235823979,2.46333896538936e-71,3.8240495123479e-68,"DOWN"
"VIM",-1.29422831850701,7.10220498657859,307.832787728765,6.47653265025649e-69,9.33592181534474e-66,"DOWN"
"MYEOV",-1.70024140754149,6.34970094499057,293.781830556584,7.45671823027507e-66,1.00322687070121e-62,"DOWN"
"ARHGAP22",-1.63722362874095,5.65165192145181,272.736252986037,2.87452282475245e-61,3.62567157039558e-58,"DOWN"
"RHCE",1.50856100873216,5.800715946371,257.833149275494,5.09149498919782e-58,6.0442035515883e-55,"UP"
"RHD",1.5411044026862,5.75132550814373,234.493983359952,6.24194583140087e-53,6.99826160130561e-50,"UP"
"CHD4",-0.288915925231862,9.47258601832782,226.480214570732,3.49119688261122e-51,3.70820233094616e-48,"DOWN"
"TLNRD1",-1.28545944474121,5.86789336433082,222.717954769738,2.3096411111078e-50,2.33054336316332e-47,"DOWN"
"RHAG",0.562434928191785,8.92654755141224,221.565302211895,4.1205637802641e-50,3.9598617928338e-47,"UP"
"SLC39A8",1.14237913066414,6.78346477214788,220.121360878398,8.50965046039476e-50,7.80605708823758e-47,"UP"
"ODC1",-0.277538630928291,9.72984800668268,219.086163649293,1.431253118165e-49,1.25583126859512e-46,"DOWN"
"UBR4",-0.253907473387412,9.63831578466225,207.524487848198,4.76395129453948e-47,4.00588754479589e-44,"NOT"
"BLVRB",0.617368372621951,8.86164032654294,204.064527612033,2.70959509668432e-46,2.18729354584745e-43,"UP"
"IGFBP4",-1.99899280633175,4.61730692403829,200.07832043642,2.00789335220042e-45,1.55851137464448e-42,"DOWN"
"STAT5A",-0.779667816149969,9.17005364737838,194.401528307903,3.48039658240127e-44,2.60140308997926e-41,"DOWN"
"COL18A1",1.03973235995536,8.07169332807948,189.233065687183,4.67453022166807e-43,3.36916765726726e-40,"UP"
"CAVIN2",-1.30353700443511,6.13585333727707,189.102395379928,4.99184533214348e-43,3.47380795337888e-40,"DOWN"
"SERPINF1",1.17904006174476,5.97461392024683,187.087028748523,1.37465904348939e-42,9.24733138555312e-40,"UP"
"EIF4G1",-0.336634943339168,9.83611034172427,183.414548462482,8.70810446599426e-42,5.66897600736226e-39,"DOWN"
"KEL",1.03274791692157,7.63101088947689,182.599317785269,1.31191514052038e-41,8.27367482838805e-39,"UP"
