"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"HSP90AB1",-0.36566227958866,12.3321006008781,-1301.80752494556,4.37353193770105e-08,0.000882622480347449,9.96111640681466,"NOT"
"ACTG1",-0.351095587993759,10.4508743904036,-697.872844295142,1.95650397814222e-07,0.00194593874777788,8.42805314257518,"NOT"
"FTH1",0.253149777953965,11.0299174459848,593.064337885981,2.8927289248965e-07,0.00194593874777788,7.74295533457852,"NOT"
"STX16-NPEPL1",-2.05522519254399,-1.5256073897056,-155.666763997968,7.19718236538744e-06,0.00473241782509762,5.14973815731217,"DOWN"
"CAPN5",2.05522519254399,-1.5256073897056,154.902581761231,7.28279039222555e-06,0.00473241782509762,5.13791514406922,"UP"
"SLC25A52",2.32192809488736,-2.97721843925507,141.699006239471,9.02121005144126e-06,0.00473241782509762,4.78961179474697,"UP"
"SHISA9",2.32192809488736,-2.97721843925507,141.699006239471,9.02121005144126e-06,0.00473241782509762,4.78961179474697,"UP"
"RTL5",2.32192809488736,-2.97721843925507,141.699006239471,9.02121005144126e-06,0.00473241782509762,4.78961179474697,"UP"
"PPP1R11",2.32192809488736,-2.97721843925507,141.699006239471,9.02121005144126e-06,0.00473241782509762,4.78961179474697,"UP"
"DGKG",2.32192809488736,-2.97721843925507,141.699006239471,9.02121005144126e-06,0.00473241782509762,4.78961179474697,"UP"
"TCEAL7",3.96821355877371,-2.15411472181485,112.61618746058,1.56664297090493e-05,0.00473241782509762,4.53681098283127,"UP"
"HSPA8",-0.0816466935758324,11.6388755531158,-230.970100699571,2.78877784343977e-06,0.00473241782509762,4.37807544782599,"NOT"
"ADGRE2",-0.947271432802249,3.69758107139365,-123.378201061335,1.2581583273363e-05,0.00473241782509762,4.28447858720327,"DOWN"
"ROPN1L",0.929048813058104,-0.286603115831148,92.3370042314188,2.52422386950448e-05,0.00473241782509762,4.17505050223459,"UP"
"TSPAN8",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"TMEM119",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"TBC1D3F",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"SMIM11A",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"SLC6A17",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"SLC30A2",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"SHBG",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"SGIP1",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"SCARA5",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"PYDC2",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"PTH",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"PLCH2",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"PLA2G2C",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"PCDHA3",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"PAG1",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"ONECUT3",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"OMP",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"NRCAM",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"NR1I2",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"KCNQ1",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"HPDL",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"HIST1H1A",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"GFPT2",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"GBP3",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"FRK",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"FLT1",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"FCGR1A",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"FAM153C",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"EVX2",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"EPS8L3",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"DNAI2",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
