"","x"
"1","ALAS2"
"2","RELN"
"3","SLC7A8"
"4","FAXDC2"
"5","COL18A1"
"6","KEL"
"7","SLC39A8"
"8","RHCE"
"9","RHD"
"10","ESPN"
"11","ERMAP"
"12","SERPINF1"
"13","SSX2B"
"14","FAM46C"
"15","BTG2"
"16","RNF144A"
"17","SH3BGRL2"
"18","TUBB1"
"19","PPOX"
"20","DMXL2"
"21","GYPA"
"22","MRC2"
"23","TMOD2"
"24","TJP2"
"25","RAB6B"
"26","FAM102B"
"27","CLIC2"
"28","SYTL4"
"29","ENDOD1"
"30","SCIN"
"31","STARD9"
"32","BNIP3L"
"33","GYPB"
"34","TMEM56"
"35","ZNF117"
"36","PTPRF"
"37","SLC4A1"
"38","EPB42"
"39","SLC6A9"
"40","LBH"
"41","SLC45A3"
"42","SLC12A7"
"43","PLEKHA7"
"44","LGR4"
"45","YPEL5"
"46","AGPAT4"
"47","CMPK2"
"48","AQP10"
"49","CA1"
"50","SEMA3F"
"51","CYP3A5"
"52","NYNRIN"
"53","HDAC11"
"54","C17orf99"
"55","SEMA7A"
"56","TF"
"57","DYSF"
"58","PROX1"
"59","ARHGAP28"
"60","IL1R1"
"61","ABHD4"
"62","HECW2"
"63","CMKLR1"
"64","AXL"
"65","CHURC1"
"66","HEPACAM2"
"67","PCDH1"
"68","LTK"
"69","SERPINI1"
"70","MLXIPL"
"71","ABCG2"
"72","CCDC173"
"73","TMEM54"
"74","ST3GAL5"
"75","ULBP2"
"76","ULBP1"
"77","ACKR2"
"78","SH3GL3"
"79","CLK4"
"80","SOD3"
"81","CEP162"
"82","CHST3"
"83","ST8SIA1"
"84","HPCA"
"85","FAM222A"
"86","CRYAB"
"87","PIK3AP1"
"88","SYNE3"
"89","FAM114A1"
"90","RIMS3"
"91","VWA5A"
"92","MARCH2"
"93","NOD1"
"94","CCDC92"
"95","FAM213A"
"96","AAMDC"
"97","TMC5"
"98","ZNF226"
"99","TSPAN33"
"100","CBLB"
"101","GATA5"
"102","TCEANC"
"103","PROCR"
"104","CAMK2A"
"105","DMBX1"
"106","GNAL"
"107","ENG"
"108","DAPP1"
"109","STXBP6"
"110","ARHGAP24"
"111","CROT"
"112","ID2"
