"","x"
"1","ALAS2"
"2","RELN"
"3","SLC7A8"
"4","FAXDC2"
"5","COL18A1"
"6","KEL"
"7","HBE1"
"8","SLC39A8"
"9","RHCE"
"10","RHD"
"11","HBG2"
"12","BLVRB"
"13","FECH"
"14","SLC25A37"
"15","RHAG"
"16","ESPN"
"17","OAT"
"18","ERMAP"
"19","SERPINF1"
"20","SSX2B"
"21","PKLR"
"22","ABCB10"
"23","FAM46C"
"24","FAM83A"
"25","BTG2"
"26","RNF144A"
"27","HBG1"
"28","SLC2A1"
"29","GUK1"
"30","SH3BGRL2"
"31","EPB41"
"32","DHFR"
"33","TOP2A"
"34","TUBB1"
"35","TMOD1"
"36","SLC29A1"
"37","PPOX"
"38","NUSAP1"
"39","FAM210B"
"40","SORD"
"41","DMXL2"
"42","BEST1"
"43","GYPA"
"44","MRC2"
"45","TMOD2"
"46","TJP2"
"47","HBA2"
"48","MAP1A"
"49","SPTA1"
"50","OSBP2"
"51","NCOA4"
"52","MT-CO2"
"53","TMEM63B"
"54","RAB6B"
"55","MT-CO1"
"56","FAM102B"
"57","CLIC2"
"58","EIF2AK1"
"59","H3F3A"
"60","TMEM14C"
"61","EPOR"
"62","SYTL4"
"63","ENDOD1"
"64","SCIN"
"65","STMN1"
"66","STARD9"
"67","RIPOR3"
"68","MT-ND4"
"69","WNK4"
"70","BNIP3L"
"71","TANGO2"
"72","GYPB"
"73","ADD2"
"74","SNAP23"
"75","UBE2H"
"76","TMEM56"
"77","MAN2A2"
"78","KIF5A"
"79","UBAC1"
"80","NAP1L1"
"81","ZNF117"
"82","SLC30A10"
"83","PTPRF"
"84","SLC4A1"
"85","CREG1"
"86","CMAS"
"87","GLB1"
"88","EPB42"
"89","DMTN"
"90","UROS"
"91","NCAPG"
"92","UCP2"
"93","TSPAN17"
"94","SLC6A9"
"95","LBH"
"96","MYL4"
"97","SLC45A3"
"98","PITX1"
"99","KRT19"
"100","SLC12A7"
"101","ICAM4"
"102","TESC"
"103","BTG1"
"104","MOB1B"
"105","PLEKHA7"
"106","HMGB2"
"107","LGR4"
"108","SLC1A4"
"109","DLGAP5"
"110","LUC7L3"
"111","YPEL5"
"112","OGT"
"113","XPR1"
"114","REEP6"
"115","SSX2IP"
"116","GYPE"
"117","NARF"
"118","AGPAT4"
"119","CPOX"
"120","CMPK2"
"121","CEP192"
"122","ITM2A"
"123","HLTF"
"124","AQP10"
"125","ZNRD1"
"126","HMBS"
"127","MYH10"
"128","AIDA"
"129","TAL1"
"130","CDK1"
"131","ABCC5"
"132","CA1"
"133","CENPE"
"134","CTNND1"
"135","FLOT2"
"136","RDX"
"137","HAT1"
"138","CTSL"
"139","CCNDBP1"
"140","ALAD"
"141","STX3"
"142","BPGM"
"143","NXF2B"
