"","x"
"1","ALAS2"
"2","HBG1"
"3","SLC7A8"
"4","RELN"
"5","FAXDC2"
"6","RHCE"
"7","RHD"
"8","RHAG"
"9","SLC39A8"
"10","BLVRB"
"11","COL18A1"
"12","SERPINF1"
"13","KEL"
"14","FAM46C"
"15","RNF144A"
"16","ESPN"
"17","BTG2"
"18","H3F3A"
"19","EPB41"
"20","SH3BGRL2"
"21","FECH"
"22","SSX2B"
"23","TMOD2"
"24","SLC2A1"
"25","TOP2A"
"26","SLC25A37"
"27","PPOX"
"28","TUBB1"
"29","FAM83A"
"30","OAT"
"31","PKLR"
"32","ABCB10"
"33","ERMAP"
"34","MRC2"
"35","RAB6B"
"36","UBAC1"
"37","FAM210B"
"38","TJP2"
"39","SCIN"
"40","DMXL2"
"41","SORD"
"42","ENDOD1"
"43","MAP1A"
"44","GUK1"
"45","EPOR"
"46","CLIC2"
"47","STARD9"
"48","HBA2"
"49","TMOD1"
"50","SYTL4"
"51","NUSAP1"
"52","OSBP2"
"53","DHFR"
"54","UBE2H"
"55","STMN1"
"56","PTPRF"
"57","KIF5A"
"58","SLC30A10"
"59","GYPA"
"60","SPTA1"
"61","SLC29A1"
"62","FAM102B"
"63","NCOA4"
"64","UROS"
"65","SLC4A1"
"66","ZNF117"
"67","SLC6A9"
"68","TMEM63B"
"69","GYPB"
"70","NAP1L1"
"71","BNIP3L"
"72","DMTN"
"73","LBH"
"74","ZNRD1"
"75","EPB42"
"76","GLB1"
"77","HBG2"
"78","SLC1A4"
"79","OGT"
"80","YPEL5"
"81","RIPOR3"
"82","BTG1"
"83","DLGAP5"
"84","TMEM56"
"85","SNAP23"
"86","SLC45A3"
"87","WNK4"
"88","LGR4"
"89","AGPAT4"
"90","CENPE"
"91","ADD2"
"92","EIF2AK1"
"93","CMAS"
"94","TESC"
"95","ALAD"
"96","ICAM4"
"97","STX3"
"98","BPGM"
"99","SLC12A7"
"100","AQP10"
"101","CTSL"
"102","AIDA"
"103","CCNDBP1"
"104","HLTF"
"105","BEST1"
"106","EZH1"
"107","TMEM14C"
"108","NPL"
"109","CA1"
"110","C21orf58"
"111","CEP192"
"112","SEMA3F"
"113","PLEKHA7"
"114","NCOA1"
"115","AXL"
"116","KRT19"
"117","CMKLR1"
"118","CPOX"
"119","MAN2A2"
"120","CYP3A5"
"121","AQP3"
"122","ASAH1"
"123","MAGED2"
"124","RDX"
"125","DDAH2"
"126","IL1R1"
"127","CR1L"
"128","DSTYK"
"129","CMPK2"
"130","NYNRIN"
"131","SCG3"
"132","MOB1B"
"133","XPR1"
"134","SEMA7A"
"135","C17orf99"
"136","HMBS"
"137","TANGO2"
"138","UCP2"
"139","MALT1"
"140","HBQ1"
"141","SLC27A2"
"142","ABCG2"
"143","NXF2B"
"144","ITM2A"
"145","TCP11L2"
"146","CREG1"
"147","SLC44A2"
"148","KLHL32"
"149","ARHGAP19"
"150","HCN3"
"151","CDKN2C"
"152","PPP1R14C"
"153","KIF18A"
"154","CPXM1"
"155","ST6GALNAC1"
"156","GYPE"
"157","VBP1"
"158","ABCC5"
"159","NCAPG"
"160","BIRC2"
"161","KAT2B"
"162","TSPAN17"
"163","TF"
"164","DSN1"
"165","CTSB"
"166","PGM3"
"167","CD93"
"168","ZBED5"
