"","x"
"1","CHURC1"
"2","RNF144A"
"3","DMBX1"
"4","ALAS2"
"5","EPB42"
"6","BTG2"
"7","HPCA"
"8","RELN"
"9","FAXDC2"
"10","SCIN"
"11","ULBP2"
"12","YPEL5"
"13","LBH"
"14","FAM46C"
"15","TUBB1"
"16","DAPP1"
"17","SH3BGRL2"
"18","CMKLR1"
"19","RHCE"
"20","SLC39A8"
"21","TMEM54"
"22","PROX1"
"23","PPOX"
"24","SERPINF1"
"25","KEL"
"26","ENG"
"27","TMOD2"
"28","SLC4A1"
"29","CBLB"
"30","HECW2"
"31","SEMA7A"
"32","RAB6B"
"33","CAMK2A"
"34","SLC6A9"
"35","AQP10"
"36","IL1R1"
"37","SLC7A8"
"38","CHST3"
"39","RHD"
"40","CCDC92"
"41","ID2"
"42","COL18A1"
"43","ERMAP"
"44","C17orf99"
"45","ENDOD1"
"46","SYNE3"
"47","SERPINI1"
"48","ESPN"
"49","PTPRF"
"50","AXL"
"51","CROT"
"52","ACKR2"
"53","AGPAT4"
"54","SOD3"
"55","STARD9"
"56","CYP3A5"
"57","NYNRIN"
"58","CCDC173"
"59","STXBP6"
"60","FAM222A"
"61","LGR4"
"62","ZNF117"
"63","FAM213A"
"64","SYTL4"
"65","MRC2"
"66","ABHD4"
"67","TJP2"
"68","LTK"
"69","ABCG2"
"70","ARHGAP28"
"71","SLC45A3"
"72","HDAC11"
"73","DMXL2"
"74","ST8SIA1"
"75","TMC5"
"76","CLIC2"
"77","CA1"
"78","ULBP1"
"79","ST3GAL5"
"80","TCEANC"
"81","ARHGAP24"
"82","PLEKHA7"
"83","TSPAN33"
"84","SSX2B"
"85","FAM114A1"
"86","DYSF"
"87","PCDH1"
"88","GATA5"
"89","MARCH2"
"90","SEMA3F"
"91","MLXIPL"
"92","AAMDC"
"93","SLC12A7"
"94","CLK4"
"95","PIK3AP1"
"96","VWA5A"
"97","TF"
"98","CRYAB"
"99","ZNF226"
"100","NOD1"
"101","CEP162"
"102","HEPACAM2"
"103","FAM102B"
"104","GNAL"
"105","PROCR"
"106","BNIP3L"
"107","RIMS3"
"108","GYPB"
"109","CMPK2"
"110","GYPA"
"111","TMEM56"
"112","SH3GL3"
