geneID,geneName,KSCr1,KSCr2,KSHr1,KSHr2
ENSG00000186092.5_3,OR4F5,0,1,4,2
ENSG00000237683.5,AL627309.1,178,158,166,149
ENSG00000235249.1,OR4F29,0,0,0,0
ENSG00000284662.1_1,OR4F16,0,1,0,0
ENSG00000269831.1,AL669831.1,3,2,0,0
ENSG00000269308.1,AL645608.2,0,0,0,0
ENSG00000187634.11_4,SAMD11,1062,739,768,710
ENSG00000268179.1,AL645608.1,2,0,3,0
ENSG00000188976.10_2,NOC2L,7418,5534,4942,5391
ENSG00000187961.13_3,KLHL17,746,605,488,451
ENSG00000187583.10_3,PLEKHN1,25,15,12,12
ENSG00000187642.9_2,PERM1,6,6,2,8
ENSG00000188290.10_3,HES4,308,233,239,240
ENSG00000187608.8_4,ISG15,226,183,182,185
ENSG00000188157.14_3,AGRN,4144,3214,3798,4009
ENSG00000237330.2_2,RNF223,0,0,1,0
ENSG00000131591.17_3,C1orf159,626,531,475,503
ENSG00000162571.13_3,TTLL10,0,1,1,0
ENSG00000186891.13_3,TNFRSF18,0,0,1,0
ENSG00000186827.10_2,TNFRSF4,0,3,0,0
ENSG00000078808.16_2,SDF4,2702,2107,2229,2186
ENSG00000176022.4_3,B3GALT6,588,452,481,533
ENSG00000184163.3_2,C1QTNF12,18,28,11,12
ENSG00000160087.20_3,UBE2J2,1458,1194,1216,1268
ENSG00000162572.20_2,SCNN1D,8,9,9,10
ENSG00000131584.18_2,ACAP3,1181,947,1128,1140
ENSG00000169972.11_2,PUSL1,605,512,478,493
ENSG00000127054.20_3,INTS11,2333,1806,1766,1935
ENSG00000224051.6_2,CPTP,393,307,306,340
ENSG00000169962.4_2,TAS1R3,20,19,16,21
ENSG00000107404.19_3,DVL1,2180,1568,1485,1614
ENSG00000162576.16_2,MXRA8,1063,863,1186,1296
ENSG00000175756.13_2,AURKAIP1,2718,2113,2074,2169
ENSG00000221978.11_2,CCNL2,1822,1581,1978,1991
ENSG00000242485.5_2,MRPL20,1690,1236,1346,1346
ENSG00000235098.8_2,ANKRD65,0,0,0,0
ENSG00000205116.3_2,TMEM88B,0,0,0,0
ENSG00000179403.11_3,VWA1,27,18,25,38
ENSG00000215915.9_3,ATAD3C,0,0,1,0
ENSG00000160072.19_2,ATAD3B,2621,2014,1794,1825
ENSG00000197785.13_2,ATAD3A,3031,2488,2137,2336
ENSG00000205090.8_2,TMEM240,15,9,11,11
ENSG00000160075.11_2,SSU72,2238,1856,1937,1939
ENSG00000228594.3_3,FNDC10,57,72,57,43
ENSG00000197530.12_3,MIB2,299,240,289,387
ENSG00000189409.13_3,MMP23B,3,2,11,9
ENSG00000248333.8_2,CDK11B,1008,646,686,748
ENSG00000189339.11_2,SLC35E2B,1243,986,1180,1197
ENSG00000008128.22_3,CDK11A,11,6,5,6
ENSG00000215790.6_3,SLC35E2,124,73,101,115
ENSG00000008130.15_2,NADK,1546,1267,1383,1508
ENSG00000078369.17_2,GNB1,3384,2889,3104,2981
ENSG00000169885.9_2,CALML6,1,2,0,0
ENSG00000178821.12_2,TMEM52,85,71,86,67
ENSG00000142609.17_3,CFAP74,0,0,0,0
ENSG00000187730.8_2,GABRD,0,0,0,0
ENSG00000067606.16_3,PRKCZ,99,82,110,94
ENSG00000162585.16_3,FAAP20,883,685,770,869
ENSG00000269554.1,AL590822.2,71,65,74,90
ENSG00000203301.2,AL590822.1,0,0,0,0
ENSG00000157933.9_2,SKI,1343,1048,999,971
ENSG00000116151.13_4,MORN1,64,49,52,60
ENSG00000269753.1,AL589739.1,0,0,0,0
ENSG00000157916.19_3,RER1,1808,1456,1814,1657
ENSG00000157911.9_3,PEX10,372,283,380,430
ENSG00000149527.17_3,PLCH2,0,0,1,1
ENSG00000157881.13_3,PANK4,522,441,476,534
ENSG00000197921.5_2,HES5,0,0,0,0
ENSG00000157873.17_2,TNFRSF14,14,16,8,14
ENSG00000157870.14_2,FAM213B,399,263,294,290
ENSG00000142606.15_3,MMEL1,81,59,60,45
ENSG00000215912.12_4,TTC34,0,0,1,0
ENSG00000169717.6_3,ACTRT2,0,0,0,0
ENSG00000142611.16_3,PRDM16,0,0,0,0
ENSG00000130762.14_3,ARHGEF16,12,4,7,12
ENSG00000162591.15_2,MEGF6,1,4,3,4
ENSG00000158109.14_2,TPRG1L,193,206,252,231
ENSG00000116213.15_2,WRAP73,558,426,513,489
ENSG00000078900.14_3,TP73,223,164,266,291
ENSG00000162592.9_3,CCDC27,84,72,98,74
ENSG00000235169.7_3,SMIM1,262,196,398,343
ENSG00000130764.9_2,LRRC47,1788,1436,1570,1553
ENSG00000116198.12_2,CEP104,647,495,529,503
ENSG00000169598.15_2,DFFB,180,165,141,154
ENSG00000198912.10_2,C1orf174,560,444,557,520
ENSG00000196581.10_2,AJAP1,0,0,0,0
ENSG00000131697.17_3,NPHP4,399,271,339,371
ENSG00000069424.14_2,KCNAB2,87,68,98,117
ENSG00000268332.1,AL035406.1,4,4,7,20
ENSG00000116254.17_2,CHD5,11,5,4,5
ENSG00000116251.9_3,RPL22,4947,4295,4915,4929
ENSG00000158286.12_2,RNF207,271,208,198,216
ENSG00000116237.15_2,ICMT,1460,1273,1453,1506
ENSG00000173673.7_2,HES3,0,0,0,0
ENSG00000158292.6_2,GPR153,19,16,31,23
ENSG00000097021.19_2,ACOT7,768,633,687,704
ENSG00000069812.11_2,HES2,5,1,8,16
ENSG00000187017.15_3,ESPN,149,109,423,501
ENSG00000215788.9_3,TNFRSF25,2,0,3,8
ENSG00000171680.21_3,PLEKHG5,4,4,0,5
ENSG00000162408.10_2,NOL9,1266,1065,1175,1237
ENSG00000173662.20_3,TAS1R1,23,10,16,16
